year,name,date,country,location,all_day,notes
2025,New Year’s Day,2025-01-01,GI,Gibraltar,True,
2025,Winter Midterm Bank Holiday,2025-02-17,GI,Gibraltar,True,
2025,Good Friday,2025-04-18,GI,Gibraltar,True,
2025,Easter Monday,2025-04-21,GI,Gibraltar,True,
2025,Workers’ Memorial Day,2025-04-28,GI,Gibraltar,True,
2025,May Day,2025-05-01,GI,Gibraltar,True,
2025,Spring Bank Holiday,2025-05-26,GI,Gibraltar,True,
2025,King’s Birthday,2025-06-16,GI,Gibraltar,True,Subject to change.
2025,Late Summer Bank Holiday,2025-08-25,GI,Gibraltar,True,
2025,Gibraltar National Day,2025-09-10,GI,Gibraltar,True,
2025,Christmas Day,2025-12-25,GI,Gibraltar,True,
2025,Boxing Day,2025-12-26,GI,Gibraltar,True,
